"Year" "ambient CO2 [ppmv]" "elevated CO2 [ppmv]" "Ndep [kg N ha-1 yr-1]"
1750 276.84 276.84 2.25
1751 276.82 276.82 2.25
1752 276.79 276.79 2.25
1753 276.78 276.78 2.25
1754 276.77 276.77 2.25
1755 276.76 276.76 2.25
1756 276.77 276.77 2.25
1757 276.79 276.79 2.25
1758 276.83 276.83 2.25
1759 276.87 276.87 2.25
1760 276.93 276.93 2.25
1761 277.01 277.01 2.25
1762 277.1 277.1 2.25
1763 277.2 277.2 2.25
1764 277.32 277.32 2.26
1765 277.45 277.45 2.26
1766 277.59 277.59 2.26
1767 277.74 277.74 2.26
1768 277.9 277.9 2.26
1769 278.06 278.06 2.26
1770 278.22 278.22 2.26
1771 278.38 278.38 2.26
1772 278.54 278.54 2.27
1773 278.69 278.69 2.27
1774 278.84 278.84 2.27
1775 278.99 278.99 2.27
1776 279.13 279.13 2.27
1777 279.27 279.27 2.27
1778 279.41 279.41 2.27
1779 279.54 279.54 2.27
1780 279.67 279.67 2.27
1781 279.81 279.81 2.28
1782 279.95 279.95 2.28
1783 280.09 280.09 2.28
1784 280.24 280.24 2.28
1785 280.4 280.4 2.28
1786 280.5 280.5 2.28
1787 280.75 280.75 2.28
1788 280.95 280.95 2.28
1789 281.15 281.15 2.29
1790 281.37 281.37 2.29
1791 281.6 281.6 2.29
1792 281.83 281.83 2.29
1793 282.07 282.07 2.29
1794 282.31 282.31 2.3
1795 282.56 282.56 2.3
1796 282.8 282.8 2.3
1797 283.03 283.03 2.3
1798 283.26 283.26 2.3
1799 283.48 283.48 2.31
1800 283.68 283.68 2.31
1801 283.87 283.87 2.31
1802 284.05 284.05 2.31
1803 284.21 284.21 2.31
1804 284.35 284.35 2.31
1805 284.48 284.48 2.31
1806 284.59 284.59 2.31
1807 284.69 284.69 2.32
1808 284.78 284.78 2.32
1809 284.85 284.85 2.32
1810 284.91 284.91 2.32
1811 284.96 284.96 2.32
1812 285 285 2.32
1813 285.04 285.04 2.32
1814 285.06 285.06 2.32
1815 285.08 285.08 2.32
1816 285.09 285.09 2.32
